Journal title,ISSN,eISSN,Categorias,Indexador
Acta Historica Universitatis Klaipedensis,1392-4095,2351-6526,History,Web of Science - ESCI
Acta Histriae,1318-0185,2591-1767,History,"Web of Science - AHCI, Web of Science - SSCI"
Acta Ichthyologica Et Piscatoria,0137-1592,1734-1515,"Fisheries, Zoology",Web of Science - SCIE
Acta Imeko,0237-028X,2221-870X,Instruments & Instrumentation,Web of Science - ESCI
Acta Infologica,2602-3563,2602-3563,"Computer Science, Information Systems",Web of Science - ESCI
Acta Informatica,0001-5903,1432-0525,"Computer Science, Information Systems",Web of Science - SCIE
Acta Informatica Pragensia,1805-4951,1805-4951,"Computer Science, Interdisciplinary Applications, Social Sciences, Interdisciplinary",Web of Science - ESCI
Acta Kinesiologica,1840-2976,1840-3700,Sport Sciences,Web of Science - ESCI
Acta Koreana,1520-7412,2733-5348,Asian Studies,Web of Science - AHCI
Acta Linguistica Academica,2559-8201,2560-1016,"Linguistics, Language & Linguistics","Web of Science - AHCI, Web of Science - SSCI"
Acta Literaria,0717-6848,0717-6848,"Literature, Romance",Web of Science - AHCI
Acta Logistica,1339-5629,1339-5629,"Engineering, Industrial, Management",Web of Science - ESCI
Acta Materialia,1359-6454,1873-2453,"Materials Science, Multidisciplinary, Metallurgy & Metallurgical Engineering",Web of Science - SCIE
Acta Mathematica,0001-5962,1871-2509,Mathematics,Web of Science - SCIE
Acta Mathematicae Applicatae Sinica-English Series,0168-9673,1618-3932,"Mathematics, Applied",Web of Science - SCIE
Acta Mathematica Hungarica,0236-5294,1588-2632,Mathematics,Web of Science - SCIE
Acta Mathematica Scientia,0252-9602,1572-9087,Mathematics,Web of Science - SCIE
Acta Mathematica Sinica-English Series,1439-8516,1439-7617,"Mathematics, Applied",Web of Science - SCIE
Acta Mathematica Universitatis Comenianae,0231-6986,0862-9544,Mathematics,Web of Science - ESCI
Acta Mathematica Vietnamica,0251-4184,2315-4144,Mathematics,Web of Science - ESCI
Acta Mechanica,0001-5970,1619-6937,Mechanics,Web of Science - SCIE
Acta Mechanica Et Automatica,1898-4088,2300-5319,"Engineering, Mechanical",Web of Science - ESCI
Acta Mechanica Sinica,0567-7718,1614-3116,"Engineering, Mechanical, Mechanics",Web of Science - SCIE
Acta Mechanica Solida Sinica,0894-9166,1860-2134,"Materials Science, Multidisciplinary, Mechanics",Web of Science - SCIE
Acta Medica Indonesiana,0125-9326,2338-2732,"Medicine, General & Internal",Web of Science - ESCI
Acta Medica Lituanica,1392-0138,2029-4174,"Medicine, General & Internal",Web of Science - ESCI
Acta Medica Okayama,0386-300X,0386-300X,"Medicine, Research & Experimental",Web of Science - SCIE
Acta Medica Portuguesa,0870-399X,1646-0758,"Medicine, General & Internal",Web of Science - SCIE
Acta Medico-Historica Adriatica,1334-4366,1334-6253,History & Philosophy Of Science,Web of Science - ESCI
Acta Metallurgica Sinica,0412-1961,,Metallurgy & Metallurgical Engineering,Web of Science - SCIE
Acta Metallurgica Slovaca,1335-1532,1338-1156,Metallurgy & Metallurgical Engineering,Web of Science - ESCI
Acta Microbiologica Et Immunologica Hungarica,1217-8950,1588-2640,"Immunology, Microbiology",Web of Science - SCIE
Acta Montanistica Slovaca,1335-1788,1335-1788,"Geosciences, Multidisciplinary, Mining & Mineral Processing",Web of Science - SCIE
Acta Musicologica,0001-6241,,Music,Web of Science - AHCI
Acta Naturae,2075-8251,2075-8251,Cell Biology,Web of Science - SCIE
Acta Neophilologica,0567-784X,2350-417X,Literature,Web of Science - ESCI
Acta Neurobiologiae Experimentalis,0065-1400,1689-0035,Neurosciences,Web of Science - SCIE
Acta Neurochirurgica,0001-6268,0942-0940,"Clinical Neurology, Surgery",Web of Science - SCIE
Acta Neurologica Belgica,0300-9009,2240-2993,"Clinical Neurology, Neurosciences",Web of Science - SCIE
Acta Neurologica Scandinavica,0001-6314,1600-0404,Clinical Neurology,Web of Science - SCIE
Acta Neuropathologica,0001-6322,1432-0533,"Clinical Neurology, Neurosciences, Pathology",Web of Science - SCIE
Acta Neuropathologica Communications,2051-5960,2051-5960,Neurosciences,Web of Science - SCIE
Acta Neuropsychiatrica,0924-2708,1601-5215,"Neurosciences, Psychiatry",Web of Science - SCIE
Acta Neuropsychologica,1730-7503,2084-4298,Psychology,Web of Science - ESCI
Acta Numerica,0962-4929,1474-0508,Mathematics,Web of Science - SCIE
Acta Obstetricia Et Gynecologica Scandinavica,0001-6349,1600-0412,Obstetrics & Gynecology,Web of Science - SCIE
Acta Oceanologica Sinica,0253-505X,1869-1099,Oceanography,Web of Science - SCIE
Acta Odontologica Scandinavica,0001-6357,1502-3850,"Dentistry, Oral Surgery & Medicine",Web of Science - SCIE
Acta Oecologica-International Journal Of Ecology,1146-609X,1873-6238,Ecology,Web of Science - SCIE
Acta Oeconomica,0001-6373,1588-2659,Economics,Web of Science - SSCI
Acta Of Bioengineering And Biomechanics,1509-409X,2450-6303,"Biophysics, Engineering, Biomedical",Web of Science - SCIE
Acta Oncologica,0284-186X,1651-226X,Oncology,Web of Science - SCIE
Acta Ophthalmologica,1755-375X,1755-3768,Ophthalmology,Web of Science - SCIE
Acta Optica Sinica,0253-2239,0253-2239,Optics,Web of Science - ESCI
Acta Orientalia Academiae Scientiarum Hungaricae,1588-2667,0001-6446,"History, Asian Studies",Web of Science - AHCI
Acta Ornithologica,0001-6454,1734-8471,Ornithology,Web of Science - SCIE
Acta Orthopaedica,1745-3674,1745-3682,Orthopedics,Web of Science - SCIE
Acta Orthopaedica Et Traumatologica Turcica,1017-995X,2589-1294,Orthopedics,Web of Science - SCIE
Acta Orthopaedica Belgica,0001-6462,0001-6462,Orthopedics,Web of Science - SCIE
Acta Ortopedica Brasileira,1413-7852,1809-4406,Orthopedics,Web of Science - SCIE
Acta Oto-Laryngologica,0001-6489,1651-2251,Otorhinolaryngology,Web of Science - SCIE
Acta Oto-Laryngologica Case Reports,2377-2484,2377-2484,Otorhinolaryngology,Web of Science - ESCI
Acta Otorhinolaryngologica Italica,0392-100X,1827-675X,Otorhinolaryngology,Web of Science - SCIE
Acta Otorrinolaringologica Espanola,0001-6519,1988-3013,Otorhinolaryngology,Web of Science - ESCI
Acta Paediatrica,0803-5253,1651-2227,Pediatrics,Web of Science - SCIE
Acta Palaeontologica Polonica,0567-7920,1732-2421,Paleontology,Web of Science - SCIE
Acta Parasitologica,1230-2821,1896-1851,"Parasitology, Veterinary Sciences, Zoology",Web of Science - SCIE
Acta Paulista De Enfermagem,0103-2100,1982-0194,Nursing,"Web of Science - SCIE, Web of Science - SSCI"
Acta Pediatrica De Mexico,0186-2391,2395-8235,Pediatrics,Web of Science - ESCI
Acta Petrologica Sinica,1000-0569,2095-8927,Geology,Web of Science - SCIE
Acta Pharmaceutica,1330-0075,1846-9558,Pharmacology & Pharmacy,Web of Science - SCIE
Acta Pharmaceutica Sinica B,2211-3835,2211-3843,Pharmacology & Pharmacy,Web of Science - SCIE
Acta Pharmacologica Sinica,1671-4083,1745-7254,"Chemistry, Multidisciplinary, Pharmacology & Pharmacy",Web of Science - SCIE
Acta Philosophica,1121-2179,1825-6562,Philosophy,Web of Science - AHCI
Acta Phlebologica,1593-232X,1827-1766,Peripheral Vascular Diseases,Web of Science - ESCI
Acta Photonica Sinica,1004-4213,1004-4213,Optics,Web of Science - ESCI
Acta Physica Polonica A,0587-4246,1898-794X,"Physics, Multidisciplinary",Web of Science - SCIE
Acta Physica Polonica B,0587-4254,1509-5770,"Physics, Multidisciplinary",Web of Science - SCIE
Acta Physica Sinica,1000-3290,1000-3290,"Physics, Multidisciplinary",Web of Science - SCIE
Acta Physico-Chimica Sinica,1000-6818,1000-6818,"Chemistry, Physical",Web of Science - SCIE
Acta Physiologiae Plantarum,0137-5881,1861-1664,Plant Sciences,Web of Science - SCIE
Acta Physiologica,1748-1708,1748-1716,Physiology,Web of Science - SCIE
Acta Phytotaxonomica Et Geobotanica,1346-7565,2189-7042,Plant Sciences,Web of Science - SCIE
Acta Poetica,0185-3082,2448-735X,"Literary Theory & Criticism, Literature",Web of Science - ESCI
Acta Politica,0001-6810,1741-1416,Political Science,Web of Science - SSCI
Acta Poloniae Historica,0001-6829,0001-6829,History,Web of Science - AHCI
Acta Poloniae Pharmaceutica,0001-6837,2353-5288,Pharmacology & Pharmacy,Web of Science - SCIE
Acta Polymerica Sinica,1000-3304,1000-3304,Polymer Science,Web of Science - SCIE
Acta Polytechnica,1805-2363,1805-2363,"Engineering, Multidisciplinary",Web of Science - ESCI
Acta Polytechnica Hungarica,1785-8860,1785-8860,"Engineering, Multidisciplinary",Web of Science - SCIE
Acta Protozoologica,0065-1583,1689-0027,Microbiology,Web of Science - SCIE
Acta Psiquiatrica Y Psicologica De America Latina,0001-6896,,Psychiatry,Web of Science - ESCI
Acta Psychiatrica Scandinavica,0001-690X,1600-0447,Psychiatry,"Web of Science - SCIE, Web of Science - SSCI"
Acta Psychologica,0001-6918,1873-6297,"Psychology, Experimental",Web of Science - SSCI
Acta Psychologica Sinica,0439-755X,,"Psychology, Multidisciplinary",Web of Science - ESCI
Acta Radiologica,0284-1851,1600-0455,"Radiology, Nuclear Medicine & Medical Imaging",Web of Science - SCIE
Acta Radiologica Open,2058-4601,2058-4601,"Radiology, Nuclear Medicine & Medical Imaging",Web of Science - ESCI
Acta Scientiae Veterinariae,1678-0345,1679-9216,Veterinary Sciences,Web of Science - SCIE
Acta Scientiarum-Agronomy,1679-9275,1807-8621,Agronomy,Web of Science - SCIE
Acta Scientiarum-Health Sciences,1679-9291,1807-8648,"Public, Environmental & Occupational Health",Web of Science - ESCI
Acta Scientiarum Mathematicarum,0001-6969,2064-8316,Mathematics,Web of Science - ESCI
Acta Scientiarum Polonorum-Formatio Circumiectus,1644-0765,1644-0765,"Agronomy, Environmental Sciences",Web of Science - ESCI
Acta Scientiarum Polonorum-Hortorum Cultus,1644-0692,2545-1405,Horticulture,Web of Science - SCIE
Acta Scientiarum Polonorum-Technologia Alimentaria,1644-0730,1898-9594,Food Science & Technology,Web of Science - ESCI
Acta Scientiarum-Technology,1806-2563,1807-8664,Multidisciplinary Sciences,Web of Science - SCIE
Actas Dermo-Sifiliograficas,0001-7310,1578-2190,Dermatology,Web of Science - ESCI
Actas Espanolas De Psiquiatria,1139-9287,1578-2735,"Neurosciences, Psychiatry",Web of Science - SCIE
Acta Silvae Et Ligni,2335-3112,2335-3953,Forestry,Web of Science - ESCI
Acta Societatis Botanicorum Poloniae,0001-6977,2083-9480,Plant Sciences,Web of Science - SCIE
Acta Sociologica,0001-6993,1502-3869,Sociology,Web of Science - SSCI
Acta Stomatologica Croatica,0001-7019,1846-0410,"Dentistry, Oral Surgery & Medicine",Web of Science - ESCI
Acta Structilia,1023-0564,2415-0487,Management,Web of Science - ESCI
Actas Urologicas Espanolas,0210-4806,1699-7980,Urology & Nephrology,Web of Science - SCIE
Acta Technica Napocensis Series-Applied Mathematics Mechanics And Engineering,1221-5872,2393-2988,Mechanics,Web of Science - ESCI
Acta Technologica Agriculturae,1338-5267,1338-5267,"Agriculture, Multidisciplinary",Web of Science - ESCI
Acta Theologica,1015-8758,2309-9089,Religion,Web of Science - AHCI
Acta Tropica,0001-706X,1873-6254,"Parasitology, Tropical Medicine",Web of Science - SCIE
Acta Turistica,0353-4316,1848-6061,"Hospitality, Leisure, Sport & Tourism",Web of Science - ESCI
Acta Universitatis Carolinae Theologica,1804-5588,2336-3398,Religion,Web of Science - ESCI
Acta Universitatis Lodziensis-Folia Archaeologica,0208-6034,2449-8300,Archaeology,Web of Science - ESCI
Acta Universitatis Lodziensis-Folia Iuridica,0208-6069,2450-2782,Law,Web of Science - ESCI
Acta Universitatis Lodziensis Folia Litteraria Polonica,1505-9057,2353-1908,"Literary Theory & Criticism, Literature, Slavic",Web of Science - ESCI
Acta Universitatis Lodziensis Folia Litteraria Romanica,1505-9065,2449-8831,"Language & Linguistics, Literature, Romance",Web of Science - ESCI
Acta Universitatis Sapientiae-Film And Media Studies,2065-5924,2066-7779,"Film, Radio, Television",Web of Science - ESCI
Acta Universitatis Sapientiae Informatica,1844-6086,2066-7760,"Computer Science, Theory & Methods",Web of Science - ESCI
Acta Universitatis Sapientiae-Mathematica,1844-6094,2066-7752,Mathematics,Web of Science - ESCI
Acta Veterinaria-Beograd,0567-8315,1820-7448,Veterinary Sciences,Web of Science - SCIE
Acta Veterinaria Brno,0001-7213,1801-7576,Veterinary Sciences,Web of Science - SCIE
Acta Veterinaria Eurasia,2619-905X,2619-905X,Veterinary Sciences,Web of Science - ESCI
Acta Veterinaria Hungarica,0236-6290,1588-2705,Veterinary Sciences,Web of Science - SCIE
Acta Veterinaria Scandinavica,0044-605X,1751-0147,Veterinary Sciences,Web of Science - SCIE
Acta Virologica,0001-723X,1336-2305,Virology,Web of Science - SCIE
Acta Zoologica,0001-7272,1463-6395,"Anatomy & Morphology, Zoology",Web of Science - SCIE
Acta Zoologica Bulgarica,0324-0770,,Zoology,Web of Science - SCIE
Actes De La Recherche En Sciences Sociales,0335-5322,1955-2564,"Social Sciences, Interdisciplinary",Web of Science - SSCI
Action Learning,1476-7333,1476-7341,Education & Educational Research,Web of Science - ESCI
Action Research,1476-7503,1741-2617,"Management, Social Sciences, Interdisciplinary",Web of Science - SSCI
Active And Passive Electronic Components,0882-7516,1563-5031,"Engineering, Electrical & Electronic",Web of Science - ESCI
Active Learning In Higher Education,1469-7874,1741-2625,Education & Educational Research,Web of Science - SSCI
Activitas Nervosa Superior Rediviva,1337-933X,1338-4015,Clinical Neurology,Web of Science - ESCI
Activites-Revue Electronique,1765-2723,1765-2723,Ergonomics,Web of Science - ESCI
Activities Adaptation & Aging,0192-4788,1544-4368,Gerontology,Web of Science - ESCI
Actualidad Contable Faces,1316-8533,1316-8533,"Business, Finance",Web of Science - ESCI
Actualidades En Psicologia,0258-6444,2215-3535,Psychology,Web of Science - ESCI
Actualidades Pedagogicas,0120-1700,2389-8755,Education & Educational Research,Web of Science - ESCI
Actualidad Juridica Ambiental,1989-5666,1989-5666,Law,Web of Science - ESCI
Actualites Pharmaceutiques,0515-3700,0515-3700,Pharmacology & Pharmacy,Web of Science - ESCI
Actualizaciones En Osteologia,1669-8975,1669-8983,"Medicine, Research & Experimental",Web of Science - ESCI
Actuators,2076-0825,2076-0825,"Engineering, Mechanical, Instruments & Instrumentation",Web of Science - SCIE
Acupuncture & Electro-Therapeutics Research,0360-1293,2167-9010,"Integrative & Complementary Medicine, Neurosciences",Web of Science - SCIE
Acupuncture And Herbal Medicine,2097-0226,2765-8619,Integrative & Complementary Medicine,Web of Science - ESCI
Acupuncture In Medicine,0964-5284,1759-9873,Integrative & Complementary Medicine,Web of Science - SCIE
Acute And Critical Care,2586-6052,2586-6060,Critical Care Medicine,Web of Science - ESCI
Acute Medicine & Surgery,2052-8817,2052-8817,"Medicine, General & Internal",Web of Science - ESCI
Adalya,1301-2746,,Archaeology,Web of Science - AHCI
Adamantius,1126-6244,,Religion,Web of Science - ESCI
Adansonia,1280-8571,1639-4798,Plant Sciences,Web of Science - SCIE
Adaptation-The Journal Of Literature On Screen Studies,1755-0637,1755-0645,"Film, Radio, Television, Literature",Web of Science - AHCI
Adapted Physical Activity Quarterly,0736-5829,1543-2777,"Rehabilitation, Sport Sciences",Web of Science - SCIE
Adaptive Behavior,1059-7123,1741-2633,"Computer Science, Artificial Intelligence, Psychology, Experimental, Social Sciences, Interdisciplinary","Web of Science - SCIE, Web of Science - SSCI"
Adcaij-Advances In Distributed Computing And Artificial Intelligence Journal,2255-2863,2255-2863,"Computer Science, Artificial Intelligence",Web of Science - ESCI
Adcomunica-Revista Cientifica De Estrategias Tendencias E Innovacion En Communicacion,2174-0992,2254-2728,Communication,Web of Science - ESCI
Addicta-The Turkish Journal On Addictions,2148-7286,2149-1305,Substance Abuse,Web of Science - ESCI
Addiction,0965-2140,1360-0443,"Substance Abuse, Psychiatry","Web of Science - SCIE, Web of Science - SSCI"
Addiction Biology,1355-6215,1369-1600,"Biochemistry & Molecular Biology, Substance Abuse",Web of Science - SCIE
Addiction Neuroscience,2772-3925,2772-3925,Neurosciences,Web of Science - ESCI
Addiction Research & Theory,1606-6359,1476-7392,"Substance Abuse, Social Issues",Web of Science - SSCI
Addiction Science & Clinical Practice,1940-0640,1940-0640,Substance Abuse,"Web of Science - SCIE, Web of Science - SSCI"
